feature,rank,category,gain_pct,fold_0,fold_1,fold_2,fold_3
dist_52w_high_rank,1,momentum,3.6337,3.0717,3.0161,4.0191,4.4278
hl_range_rank,2,price,3.1848,0.799,1.3989,3.7377,6.8036
beta_120_rank,3,market,3.1669,3.4273,2.9918,3.2435,3.0049
ret_126_rank,4,momentum,2.6741,2.7895,2.7004,2.6599,2.5468
bb_width_20_rank,5,technical,2.574,2.9659,2.7174,2.5511,2.0617
dist_52w_low_rank,6,momentum,2.4948,2.1552,3.288,2.2598,2.2762
idio_vol_60_rank,7,market,2.3253,1.7713,2.1814,2.0504,3.2978
vol_63_rank,8,price,2.309,2.4688,2.324,2.0323,2.4111
peer_corr_rank,9,peer,2.2686,3.131,2.6182,1.9132,1.4119
mom_12_1_rank,10,momentum,2.2301,1.7467,2.4526,2.3419,2.3791
parkinson_21_rank,11,price,2.2053,1.6058,2.6645,3.2494,1.3017
log_adtv_rank,12,volume,2.1975,2.2214,2.34,2.1323,2.0964
seas_month_rank,13,season,2.1915,0.8267,2.0803,3.0969,2.7621
max_ret_21_rank,14,shape,2.1579,2.5878,2.2744,2.1235,1.6459
mkt_corr_60_rank,15,market,2.1574,2.6059,2.5265,1.855,1.6421
amihud_63_rank,16,volume,2.1545,2.6957,2.1318,1.8966,1.8939
ret_1_rank,17,momentum,2.0822,1.5955,1.185,2.3702,3.1782
ma_gap_12_26_rank,18,technical,2.0295,1.865,2.2085,1.8835,2.1609
beta_60_rank,19,market,2.0257,2.4251,2.4697,1.7252,1.4827
adtv_trend_21_63_rank,20,volume,1.9833,2.5543,1.9237,1.831,1.6243
ma_ratio_200_rank,21,technical,1.9748,2.3391,1.5729,2.2109,1.7761
excess_ret_63_rank,22,market,1.9701,1.999,2.3483,1.8985,1.6346
ret_252_rank,23,momentum,1.8866,2.1175,2.0482,1.8178,1.5628
gap_rank,24,price,1.8859,1.7584,1.5695,1.9596,2.2559
overnight_frac_21_rank,25,price,1.8525,1.8579,1.947,2.0191,1.5859
limit_up_frac_63_rank,26,shape,1.8257,1.8404,2.1028,1.7045,1.6552
trade_freq_21_rank,27,price,1.7686,0.253,2.0912,2.3697,2.3607
downside_vol_21_rank,28,price,1.7175,1.8192,1.9076,1.7245,1.4187
vol_ratio_21_63_rank,29,price,1.705,1.9686,1.6862,1.7526,1.4127
amihud_21_rank,30,volume,1.7044,1.8035,1.7331,1.9477,1.3334
ret_63_rank,31,momentum,1.6435,1.5884,1.9741,1.4917,1.5196
ret_5_rank,32,momentum,1.6211,1.4113,1.8478,1.5267,1.6987
alpha_60_rank,33,market,1.6157,1.8488,1.6168,1.2806,1.7165
limit_down_frac_63_rank,34,shape,1.5971,1.8332,1.8902,1.291,1.374
atr_14_norm_rank,35,price,1.5834,1.3947,1.2653,2.3093,1.3644
skew_21_rank,36,shape,1.5529,1.5374,1.8271,1.5271,1.32
ma_ratio_50_rank,37,technical,1.5414,1.8376,1.4852,1.486,1.3567
band_proximity_rank,38,shape,1.5309,1.6582,1.3536,1.5695,1.5421
garman_klass_21_rank,39,price,1.4598,1.7504,1.303,1.4154,1.3704
turnover_ratio_5_rank,40,volume,1.4547,1.5983,1.4131,1.3462,1.4613
untradeable_frac_21_rank,41,volume,1.3983,1.526,1.4487,1.2741,1.3444
bb_pct_20_rank,42,technical,1.3662,1.4903,1.4526,1.1775,1.3442
vol_21_rank,43,price,1.3096,1.2111,1.2911,1.0685,1.6678
peer_ret_21_rank,44,peer,1.3092,1.6976,1.304,1.2637,0.9715
rsi_14_rank,45,technical,1.2933,1.3952,1.371,1.2254,1.1816
stoch_14_rank,46,technical,1.2441,1.1085,0.8856,1.2178,1.7644
up_day_frac_21_rank,47,shape,1.2278,1.2507,1.2388,1.0899,1.3317
peer_gap_5_rank,48,peer,1.0484,1.2718,1.0745,0.9595,0.888
close_location_rank,49,price,1.0258,1.2041,1.1937,0.8458,0.8596
turnover_ratio_rank,50,volume,0.9076,0.9418,0.5443,0.8686,1.2756
excess_ret_5_rank,51,market,0.8679,1.1887,0.6295,0.7082,0.9453
seas_tet_rank,52,season,0.8444,0.1733,0.4999,1.5788,1.1257
ret_21_rank,53,momentum,0.8212,0.9315,1.0337,0.6871,0.6325
excess_ret_21_rank,54,market,0.7872,1.15,0.7802,0.6732,0.5453
volume_z_21_rank,55,volume,0.7862,1.0565,0.7984,0.662,0.628
peer_ret_5_rank,56,peer,0.7461,1.2201,0.8906,0.4432,0.4305
intraday_ret_rank,57,price,0.5489,0.845,0.6763,0.3859,0.2885
turnover_ratio_21_rank,58,volume,0.4576,0.8135,0.4108,0.2498,0.3565
net_issuance_252_rank,59,volume,0.0726,0.0,0.0,0.0,0.2902
