feature,rank,category,gain_pct,fold_0,fold_1,fold_2,fold_3
hl_range_rank,1,range,2.9396,0.4523,1.4019,3.4154,6.4888
dist_52w_high_rank,2,momentum,2.8866,2.2456,2.1961,3.088,4.0166
beta_120_rank,3,beta,2.8207,2.669,2.4995,3.1886,2.9259
ret_126_rank,4,momentum,2.3273,2.4261,2.6499,2.2186,2.0147
idio_vol_60_rank,5,beta,2.2954,1.8162,1.9627,1.8564,3.5461
bb_width_20_rank,6,technical,2.243,2.4366,2.405,2.206,1.9244
dist_52w_low_rank,7,momentum,2.0883,1.7564,2.5065,2.2728,1.8176
mkt_corr_60_rank,8,beta,2.0381,2.3036,2.4115,1.6726,1.7646
vol_63_rank,9,volatility,2.005,2.049,2.2637,1.7111,1.9963
ret_1_rank,10,momentum,1.9848,1.4532,1.3571,2.1656,2.9633
excess_ret_63_rank,11,beta,1.9604,1.9149,2.3414,2.1003,1.4849
log_adtv_rank,12,liquidity,1.9365,1.896,1.8974,2.0796,1.8728
mom_12_1_rank,13,momentum,1.931,1.503,1.9191,2.1488,2.1532
peer_corr_rank,14,peer,1.895,2.7153,2.0542,1.6193,1.1911
beta_60_rank,15,beta,1.8822,2.3445,2.2499,1.6903,1.244
amihud_63_rank,16,liquidity,1.8698,2.2884,1.7122,1.7797,1.6989
max_ret_21_rank,17,speculation,1.8386,2.1948,2.0511,1.7039,1.4045
seas_month_rank,18,season,1.835,0.726,1.6915,2.8055,2.1171
gap_rank,19,range,1.8292,1.7459,1.5008,1.9709,2.0991
adtv_trend_21_63_rank,20,liquidity,1.8157,2.3673,1.7237,1.7936,1.3783
parkinson_21_rank,21,volatility,1.7985,1.2441,2.3215,2.6924,0.9359
ma_gap_12_26_rank,22,technical,1.7395,1.7516,2.0297,1.528,1.6486
channel_pos_252_rank,23,technical,1.7248,1.743,1.5849,2.0125,1.5586
ma_ratio_200_rank,24,technical,1.7085,2.145,1.4551,1.9482,1.2858
overnight_frac_21_rank,25,range,1.6649,1.5268,1.857,1.8025,1.4733
ma_gap_5_20_rank,26,technical,1.5674,1.4799,1.5121,1.4536,1.8241
amihud_21_rank,27,liquidity,1.5495,1.7616,1.665,1.5646,1.2068
ret_252_rank,28,momentum,1.5254,1.7956,1.6659,1.2617,1.3783
ret_kurt_21_rank,29,volatility,1.5238,1.7983,1.6011,1.445,1.2509
alpha_60_rank,30,beta,1.4783,1.4906,1.493,1.0573,1.8722
limit_up_frac_63_rank,31,speculation,1.4771,1.6247,1.7051,1.2367,1.342
trade_freq_21_rank,32,liquidity,1.4727,0.2877,1.8625,2.0001,1.7403
cmf_21_rank,33,technical,1.4425,1.7777,1.4084,1.2765,1.3075
vol_ratio_21_63_rank,34,volatility,1.4179,1.6446,1.6068,1.3279,1.0922
downside_vol_21_rank,35,volatility,1.4151,1.44,1.4208,1.286,1.5135
ret_63_rank,36,momentum,1.4141,1.2392,1.7021,1.4007,1.3143
band_proximity_rank,37,speculation,1.3931,1.5891,1.0791,1.4372,1.4669
limit_down_frac_63_rank,38,speculation,1.3617,1.468,1.7162,1.069,1.1936
turnover_ratio_5_rank,39,liquidity,1.3478,1.4591,1.2846,1.3616,1.2861
ret_5_rank,40,momentum,1.3384,1.0929,1.6365,1.2073,1.4169
rsi_5_rank,41,technical,1.2639,1.8678,1.2502,0.9638,0.9737
skew_21_rank,42,speculation,1.2417,1.1,1.4404,1.2152,1.2115
vol_21_rank,43,volatility,1.2409,1.1589,1.2143,0.9938,1.5965
untradeable_frac_21_rank,44,liquidity,1.2296,1.2698,1.2207,1.231,1.1967
rogers_satchell_21_rank,45,volatility,1.2051,1.2804,1.1707,1.3302,1.0391
atr_14_norm_rank,46,volatility,1.1812,1.0898,1.1567,1.3987,1.0796
garman_klass_21_rank,47,volatility,1.1731,1.0368,1.1655,1.4013,1.0887
obv_frac_21_rank,48,technical,1.1486,1.3461,1.0518,1.181,1.0155
ma_ratio_50_rank,49,technical,1.1445,1.3317,1.2299,0.9963,1.0201
mfi_14_rank,50,technical,1.1139,1.2813,1.2233,1.0663,0.8847
bb_pct_20_rank,51,technical,1.0845,0.9706,1.3477,1.0245,0.9951
peer_ret_21_rank,52,peer,1.0801,1.4513,1.0497,1.0386,0.7807
vwap_gap_21_rank,53,technical,1.0037,1.1243,1.0899,0.8126,0.9882
stoch_14_rank,54,technical,0.9698,1.2239,0.6181,0.7818,1.2556
keltner_pct_20_rank,55,technical,0.9697,0.7991,0.8506,1.1234,1.1057
peer_gap_5_rank,56,peer,0.9078,0.9813,0.9315,0.9959,0.7226
up_day_frac_21_rank,57,speculation,0.8882,1.0113,0.9255,0.7131,0.9029
range_expansion_21_rank,58,range,0.8265,1.0487,0.9139,0.8014,0.542
seas_tet_rank,59,season,0.8259,0.1619,0.4677,1.5376,1.1364
turnover_ratio_rank,60,liquidity,0.7916,0.8008,0.4426,0.7316,1.1913
peer_ret_5_rank,61,peer,0.703,1.1409,0.7731,0.4969,0.401
rsi_14_rank,62,technical,0.6709,0.8762,0.7295,0.4868,0.5909
close_location_rank,63,range,0.6662,0.9202,0.6458,0.5762,0.5226
trend_quality_21_rank,64,technical,0.6212,0.7553,0.4911,0.5428,0.6954
excess_ret_5_rank,65,beta,0.6161,0.5147,0.4953,0.7431,0.7113
excess_ret_21_rank,66,beta,0.5976,0.893,0.5153,0.5342,0.448
volume_z_21_rank,67,liquidity,0.5907,0.7907,0.623,0.4684,0.4808
ret_21_rank,68,momentum,0.5354,0.6892,0.6377,0.4153,0.3994
intraday_ret_rank,69,range,0.4821,0.7143,0.5993,0.3313,0.2833
turnover_ratio_21_rank,70,liquidity,0.3718,0.7058,0.3266,0.2109,0.2441
net_issuance_252_rank,71,liquidity,0.0717,0.0,0.0,0.0,0.2868
