feature,rank,category,gain_pct,fold_0,fold_1,fold_2,fold_3
hl_range_rank,1,price,3.2888,0.8079,1.5877,3.8844,6.8753
seas_month_rank,2,season,3.2514,3.9787,3.5775,3.0756,2.3738
dist_52w_high_rank,3,momentum,2.9803,2.3465,2.2585,3.1271,4.189
beta_120_rank,4,market,2.8325,2.6712,2.6082,3.1379,2.9125
vol_63_rank,5,price,2.6043,2.2021,2.6339,2.7022,2.879
mkt_corr_60_rank,6,market,2.4985,2.9754,2.7145,2.2476,2.0565
idio_vol_60_rank,7,market,2.4854,1.9281,2.4096,2.1642,3.4397
bb_width_20_rank,8,technical,2.4048,2.5029,2.7577,2.2481,2.1104
dist_52w_low_rank,9,momentum,2.3543,2.3458,2.8702,2.1958,2.0052
ma_gap_12_26_rank,10,technical,2.3467,2.2884,2.5358,1.9588,2.6039
peer_corr_rank,11,peer,2.2781,2.4687,2.6845,2.243,1.7163
beta_60_rank,12,market,2.2545,2.5109,2.8183,1.974,1.7146
ret_1_rank,13,momentum,2.2401,1.7097,1.4299,2.5089,3.3117
amihud_63_rank,14,volume,2.2134,2.4361,2.3789,2.1833,1.8553
ret_126_rank,15,momentum,2.1716,2.2715,2.3027,1.8654,2.2467
max_ret_21_rank,16,shape,2.1608,2.5905,2.3568,2.0496,1.6465
log_adtv_rank,17,volume,2.1514,2.1312,2.022,2.2388,2.2137
excess_ret_63_rank,18,market,2.1466,2.3248,2.4206,2.2089,1.6321
parkinson_21_rank,19,price,2.131,1.4323,2.8189,2.9803,1.2925
mom_12_1_rank,20,momentum,1.8908,1.4147,2.0103,2.0516,2.0867
gap_rank,21,price,1.8691,1.859,1.5036,1.8964,2.2173
peer_ret_21_rank,22,peer,1.8433,2.1514,1.9003,1.8279,1.4935
amihud_21_rank,23,volume,1.816,2.2096,1.9017,1.8687,1.284
adtv_trend_21_63_rank,24,volume,1.8114,2.0718,1.9005,1.8336,1.4396
ma_ratio_200_rank,25,technical,1.787,1.632,1.747,2.0587,1.71
alpha_60_rank,26,market,1.7788,1.8171,1.8874,1.3785,2.032
overnight_frac_21_rank,27,price,1.7698,1.969,1.6435,1.9266,1.5402
ret_5_rank,28,momentum,1.7535,1.6925,1.9166,1.72,1.6851
vol_ratio_21_63_rank,29,price,1.7433,1.7222,1.8445,1.765,1.6414
trade_freq_21_rank,30,price,1.6614,0.2014,1.9742,2.4063,2.0637
atr_14_norm_rank,31,price,1.632,1.5663,1.4328,2.1332,1.3958
downside_vol_21_rank,32,price,1.6317,1.9273,1.6283,1.5784,1.3927
skew_21_rank,33,shape,1.6149,1.6839,1.9686,1.605,1.202
limit_up_frac_63_rank,34,shape,1.5552,1.6095,1.751,1.4556,1.4048
ret_252_rank,35,momentum,1.468,1.4151,1.5666,1.6726,1.218
garman_klass_21_rank,36,price,1.4514,1.7443,1.1202,1.5082,1.4327
turnover_ratio_5_rank,37,volume,1.448,1.6709,1.4322,1.3415,1.3473
bb_pct_20_rank,38,technical,1.4368,1.5148,1.573,1.2566,1.4027
ret_63_rank,39,momentum,1.4162,1.3107,1.4664,1.5632,1.3246
untradeable_frac_21_rank,40,volume,1.3991,1.5436,1.4623,1.2487,1.3418
limit_down_frac_63_rank,41,shape,1.3747,1.5682,1.535,1.1118,1.2838
vol_21_rank,42,price,1.3623,1.3242,1.245,1.0532,1.8266
ma_ratio_50_rank,43,technical,1.3549,1.636,1.5211,1.1024,1.1602
stoch_14_rank,44,technical,1.3458,1.2324,1.1344,1.3985,1.6177
peer_gap_5_rank,45,peer,1.3326,1.6292,1.2076,1.2843,1.2095
up_day_frac_21_rank,46,shape,1.2394,1.4325,1.3886,1.0038,1.1325
band_proximity_rank,47,shape,1.2312,1.5086,0.8726,1.3187,1.2249
peer_ret_5_rank,48,peer,1.1495,1.6104,1.1606,0.9786,0.8484
rsi_14_rank,49,technical,1.0116,0.8991,1.0567,1.0829,1.0078
excess_ret_5_rank,50,market,0.9916,1.221,0.8686,0.8456,1.0311
excess_ret_21_rank,51,market,0.937,1.4949,0.8838,0.8126,0.5568
close_location_rank,52,price,0.8876,1.1428,0.6286,0.8358,0.9434
turnover_ratio_rank,53,volume,0.8623,0.7747,0.665,0.7867,1.2228
volume_z_21_rank,54,volume,0.7778,1.0937,0.7192,0.6636,0.6348
ret_21_rank,55,momentum,0.7745,0.9593,0.8175,0.7342,0.587
seas_tet_rank,56,season,0.6722,0.0912,0.3654,1.2011,1.0311
intraday_ret_rank,57,price,0.5346,0.8578,0.6758,0.3577,0.2471
turnover_ratio_21_rank,58,volume,0.5098,0.874,0.4372,0.3383,0.3899
net_issuance_252_rank,59,volume,0.0785,0.0,0.0,0.0,0.314
